id|label
chauffage|Chauffage
ecs|Eau chaude sanitaire
ventilation|Ventilation
isolation-murs|Isolation des murs
isolation-plancher-haut|Isolation des planchers hauts
isolation-plancher-bas|Isolation des planchers bas
ouvertures|Ouvertures
refroidissement|Refroidissement
regulation|Régulation
reseau|Réseau
protection-solaire|Protection solaire
